"Adverb","Adjective","a","b","c","d","GStat","Frequency"
"badly","abused",1,4173,151,98359458,8.10699062430233,"higher"
"badly","adjusted",2,4172,135,98359474,19.4046282743571,"higher"
"badly","affected",10,4164,818,98358791,93.2369977859243,"higher"
"badly","afflicted",1,4173,100,98359509,8.92352369407178,"higher"
"badly","applied",3,4171,1537,98358072,17.0981241133754,"higher"
"badly","assembled",3,4171,371,98359238,25.5092076413234,"higher"
"badly","astray",2,4172,110,98359499,20.2150243110196,"higher"
"badly","bad",1,4173,14790,98344819,0.186892534029744,"higher"
"badly","beaten",18,4156,827,98358782,188.402979315352,"higher"
"badly","bleached",1,4173,137,98359472,8.29972692365879,"higher"
"badly","blistered",1,4173,37,98359572,10.8898627216909,"higher"
"badly","bloodied",1,4173,88,98359521,9.17681824150779,"higher"
"badly","bloodstained",1,4173,102,98359507,8.88428293189751,"higher"
"badly","blunted",1,4173,48,98359561,10.3763265212448,"higher"
"badly","broken",11,4163,3752,98355857,71.4932864323402,"higher"
"badly","brought-up",1,4173,6,98359603,14.3942265219589,"higher"
"badly","bruised",42,4132,377,98359232,573.271450001506,"higher"
"badly","bruising",1,4173,241,98359368,7.1820572826697,"higher"
"badly","buckled",1,4173,49,98359560,10.3355922320708,"higher"
"badly","burned",5,4169,85,98359524,62.0680805030095,"higher"
"badly","burnt",3,4171,343,98359266,25.9756933642916,"higher"
"badly","capped",1,4173,175,98359434,7.81491925299765,"higher"
"badly","carved",1,4173,560,98359049,5.52520385536855,"higher"
"badly","chilled",1,4173,246,98359363,7.14149641157499,"higher"
"badly","chipped",1,4173,97,98359512,8.98388038223729,"higher"
"badly","chosen",2,4172,1280,98358329,10.5307577825561,"higher"
"badly","clinkered",1,4173,1,98359608,17.3628420317986,"higher"
"badly","concussed",1,4173,18,98359591,12.3015752441106,"higher"
"badly","congested",1,4173,179,98359430,7.770186202146,"higher"
"badly","constricted",1,4173,39,98359570,10.7861070927188,"higher"
"badly","constructed",3,4171,309,98359300,26.5962753019811,"higher"
"badly","cooked",1,4173,523,98359086,5.65864882633947,"higher"
"badly","coordinated",1,4173,195,98359414,7.60077304727863,"higher"
"badly","corroded",2,4172,35,98359574,24.7131675304636,"higher"
"badly","cracked",2,4172,388,98359221,15.2223607858819,"higher"
"badly","creased",1,4173,84,98359525,9.26898191049531,"higher"
"badly","crevased",1,4173,0,98359609,20.135345883047,"higher"
"badly","crunched",1,4173,2,98359607,16.3164305715841,"higher"
"badly","crushed",1,4173,378,98359231,6.29498774479661,"higher"
"badly","cultivated",1,4173,320,98359289,6.62273422062324,"higher"
"badly","damaged",20,4154,745,98358864,217.62278293683,"higher"
"badly","damaging",1,4173,1167,98358442,4.10912662030005,"higher"
"badly","dated",1,4173,803,98358806,4.82552654044749,"higher"
"badly","decayed",1,4173,79,98359530,9.39054818149377,"higher"
"badly","decomposed",3,4171,36,98359573,39.2577575577858,"higher"
"badly","deficient",1,4173,255,98359354,7.07053911068289,"higher"
"badly","deformed",5,4169,196,98359413,53.8848902864457,"higher"
"badly","depressed",3,4171,1484,98358125,17.3039682487279,"higher"
"badly","digitised",2,4172,73,98359536,21.8338136968315,"higher"
"badly","disabled",4,4170,3204,98356405,19.3240489251208,"higher"
"badly","disadvantaged",1,4173,540,98359069,5.59617607475459,"higher"
"badly","disappointed",2,4172,2037,98357572,8.73766307423375,"higher"
"badly","diseased",2,4172,179,98359430,18.287137454228,"higher"
"badly","disfigured",4,4170,38,98359571,54.1301366019618,"higher"
"badly","disguised",2,4172,156,98359453,18.8320370429927,"higher"
"badly","disrupted",1,4173,120,98359489,8.56223412036984,"higher"
"badly","divided",1,4173,651,98358958,5.23202887177662,"higher"
"badly","drafted",1,4173,30,98359579,11.3025276240534,"higher"
"badly","drained",2,4172,247,98359362,17.0110085922907,"higher"
"badly","dressed",2,4172,349,98359260,15.641638202704,"higher"
"badly","due",1,4173,15118,98344491,0.170859473016813,"higher"
"badly","educated",2,4172,1119,98358490,11.0543494690141,"higher"
"badly","eroded",3,4171,132,98359477,31.6458614782814,"higher"
"badly","failing",1,4173,323,98359286,6.60435505859365,"higher"
"badly","fitted",2,4172,406,98359203,15.0429519582068,"higher"
"badly","fitting",11,4163,764,98358845,106.127435223074,"higher"
"badly","flawed",2,4172,372,98359237,15.3890076105709,"higher"
"badly","flooded",1,4173,104,98359505,8.84580378437095,"higher"
"badly","focussed",1,4173,29,98359580,11.3691217708238,"higher"
"badly","fractured",1,4173,237,98359372,7.215121631365,"higher"
"badly","fragmented",1,4173,440,98359169,5.99685956052688,"higher"
"badly","framed",1,4173,334,98359275,6.53841284767278,"higher"
"badly","frayed",1,4173,144,98359465,8.20100929449971,"higher"
"badly","frightened",5,4169,2115,98357494,30.3752781231571,"higher"
"badly","frost-bitten",1,4173,11,98359598,13.2522156086693,"higher"
"badly","funded",2,4172,452,98359157,14.6185376246053,"higher"
"badly","furnished",1,4173,318,98359291,6.63508413358884,"higher"
"badly","furred-up",1,4173,3,98359606,15.6369192517189,"higher"
"badly","guided",1,4173,418,98359191,6.0974600120281,"higher"
"badly","guilty",1,4173,4075,98355534,1.85561976652024,"higher"
"badly","handicapped",3,4171,1376,98358233,17.7476958204316,"higher"
"badly","harmonised",1,4173,37,98359572,10.8898627216909,"higher"
"badly","heated",3,4171,755,98358854,21.2909693820664,"higher"
"badly","hung",1,4173,243,98359366,7.16573197630891,"higher"
"badly","hurt",17,4157,970,98358639,170.653100422616,"higher"
"badly","ill",1,4173,4518,98355091,1.6868367640418,"higher"
"badly","inaccurate",1,4173,456,98359153,5.92686058290962,"higher"
"badly","infected",1,4173,617,98358992,5.33634066690245,"higher"
"badly","infested",2,4172,63,98359546,22.4137344534833,"higher"
"badly","inflamed",1,4173,193,98359416,7.62116917086964,"higher"
"badly","injured",16,4158,1653,98357956,141.800222260764,"higher"
"badly","insulated",1,4173,108,98359501,8.77101642662248,"higher"
"badly","interrupted",1,4173,60,98359549,9.93517291791772,"higher"
"badly","lacerated",4,4170,21,98359588,58.5625461063544,"higher"
"badly","laid",1,4173,184,98359425,7.71566182269726,"higher"
"badly","limited",1,4173,7713,98351896,0.888365802803191,"higher"
"badly","loaded",1,4173,562,98359047,5.51824977155922,"higher"
"badly","made-up",2,4172,76,98359533,21.675097614798,"higher"
"badly","maintained",1,4173,257,98359352,7.05511421331665,"higher"
"badly","malformed",1,4173,17,98359592,12.4126587544666,"higher"
"badly","man-handled",1,4173,3,98359606,15.6369192517189,"higher"
"badly","marked",1,4173,2738,98356871,2.53733751592701,"higher"
"badly","matched",1,4173,194,98359415,7.61094471835761,"higher"
"badly","mildewed",1,4173,13,98359596,12.9315270088332,"higher"
"badly","mistaken",2,4172,672,98358937,13.0537857171953,"higher"
"badly","mixed",1,4173,2218,98357391,2.9143723991937,"higher"
"badly","muddled",1,4173,193,98359416,7.62116917086964,"higher"
"badly","mutilated",6,4168,140,98359469,70.7789896011335,"higher"
"badly","neglected",1,4173,543,98359066,5.58536046246615,"higher"
"badly","off",1,4173,240,98359369,7.19027119005862,"higher"
"badly","off-key",1,4173,18,98359591,12.3015752441106,"higher"
"badly","orchestrated",1,4173,51,98359558,10.2565410203355,"higher"
"badly","organised",4,4170,1062,98358547,27.9663402811306,"higher"
"badly","overrunning",1,4173,1,98359608,17.3628420317986,"higher"
"badly","overstocked",1,4173,24,98359585,11.7401748766928,"higher"
"badly","packed",1,4173,860,98358749,4.69329016535393,"higher"
"badly","painted",2,4172,907,98358702,11.8757239844474,"higher"
"badly","parked",1,4173,207,98359402,7.48264912162311,"higher"
